certification_id,supplier_id,supplier_name_normalized,cert_name_raw,cert_name_normalized,expiry_date_raw,expiry_date,source_file,source_sheet,source_row,source_column
CERT_3755648571314506687,SUP_4159415505829127593,1855,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3755648571314506687,SUP_4159415505829127593,1855,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1041944859121755503,SUP_8946545976846238318,A. PONTECORVO S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4339916970142596083,SUP_8946545976846238318,A. PONTECORVO S.P.A.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2056722278564228955,SUP_8066959339184381404,A.B. ESSE S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_676311641837049253,SUP_8066959339184381404,A.B. ESSE S.P.A.,QUESTIONARIO PRE-QUALIFICA in attesa approvazione Spartaco,QUESTIONARIO PRE-QUALIFICA IN ATTESA APPROVAZIONE SPARTACO,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3756426344724282679,SUP_4003026683781222991,ABIS CIRCUITS CO. LIMITED,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_9138288173988634265,SUP_4003026683781222991,ABIS CIRCUITS CO. LIMITED,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_8261511328796572760,SUP_6885422043853362609,ACAL BFI ITALY SRL,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1518707883452146954,SUP_6885422043853362609,ACAL BFI ITALY SRL,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5048698022764937466,SUP_5259020484714479308,ACX DESIGN S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2314508099151074577,SUP_5259020484714479308,ACX DESIGN S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_8677997760540198599,SUP_8935105067253007922,ADVAM S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3296135931275847013,SUP_8935105067253007922,ADVAM S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5095908111932294387,SUP_2927027388811480020,AFAR S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7949857165278423381,SUP_2927027388811480020,AFAR S.R.L.,ISO 9001:2015 / EN 9120:2018,ISO 9001:2015 / EN 9120:2018,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_637509533616148212,SUP_4485086961438581867,AIRSERVICE S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_637509533616148212,SUP_4485086961438581867,AIRSERVICE S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3469685606368875108,SUP_5512617973696217128,ALANTYS TECHNOLOGY,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5196839255091956794,SUP_5512617973696217128,ALANTYS TECHNOLOGY,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
