order_id,order_number,order_date_raw,order_date,operator,supplier_text_raw,supplier_text_normalized,amount_total_raw,amount_total,amount_open_raw,amount_open,amount_fulfilled_raw,amount_fulfilled,status,job_cdc,job_cdc_normalized,job_cdc_is_cdc,requested_date,confirmed_date,effective_date,matched_supplier_id,match_method,match_score,match_confidence,source_file,source_sheet,source_row,source_columns_used
ORD_ORDINI EVASI (3)_6,38,2024-01-18 00:00:00,2024-01-18,nan,METATRON,METATRON,165,165.0,0,0.0,165,165.0,EVASO,E-00071 (LCTE),E-00071 (LCTE),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),6,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_7,41,2024-01-22 00:00:00,2024-01-22,nan,PONTECORVO,PONTECORVO,263.26,26326.0,0,0.0,263.26,26326.0,EVASO,E-00067 (EWE),E-00067 (EWE),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),7,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_8,42,2024-01-22 00:00:00,2024-01-22,nan,PONTECORVO,PONTECORVO,454.92,45492.0,0,0.0,454.92,45492.0,EVASO,E-00083 (PANALYTICAL),E-00083 (PANALYTICAL),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),8,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_9,44,2024-01-22 00:00:00,2024-01-22,nan,PONTECORVO,PONTECORVO,89.32,8932.0,0,0.0,89.32,8932.0,EVASO,E-00091 (GOMA),E-00091 (GOMA),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),9,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_10,45,2024-01-22 00:00:00,2024-01-22,nan,FARNELL,FARNELL,77.88,7788.0,0,0.0,77.88,7788.0,EVASO,E-00094 (PANALYTICAL),E-00094 (PANALYTICAL),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),10,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_12,432,2023-12-28 00:00:00,2023-12-28,nan,MOUSER,MOUSER,2420.86,242086.0,0,0.0,2420.86,242086.0,EVASO,E-00067 (EWE),E-00067 (EWE),False,,,,SUP_7738383116002723127,exact,100.0,high,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),12,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_14,11,2024-01-09 00:00:00,2024-01-09,nan,DB ELECTRONIC,DB ELECTRONIC,4543.01,454301.0,0,0.0,4543.01,454301.0,EVASO,E-00079 (QUIRIS),E-00079 (QUIRIS),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),14,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_15,419,2023-12-19 00:00:00,2023-12-19,nan,LA NUOVA EUROGALV,LA NUOVA EUROGALV,445.4,4454.0,0,0.0,445.4,4454.0,EVASO,E-00083 (PANALYTICAL),E-00083 (PANALYTICAL),False,,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),15,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_16,427,2023-12-22 00:00:00,2023-12-22,nan,ELCO,ELCO,5055,5055.0,0,0.0,5055,5055.0,EVASO,E-00067 (EWE),E-00067 (EWE),False,2024-01-29,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),16,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
ORD_ORDINI EVASI (3)_17,36,2024-01-18 00:00:00,2024-01-18,nan,LA NUOVA EUROGALV,LA NUOVA EUROGALV,115.5,1155.0,0,0.0,115.5,1155.0,EVASO,E-00091 (GOMA),E-00091 (GOMA),False,2024-01-31,,,,none,,none,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),17,"[""DATA"", ""DATA CONFERMAYA"", ""DATA EFFETTIVA"", ""DATA RICHIESTA"", ""FORNITORE"", ""IMP. TOT. DA EVADERE"", ""IMP. TOT. EVASO"", ""IMPORTO TOTALE"", ""JOB / CDC"", ""NUMERO"", ""OPERATORE"", ""STATO""]"
