supplier_id,supplier_name_raw,supplier_name_normalized,supplier_category,supplier_type,supply_scope,certifications_raw,kpi_quality,kpi_time,distributor_or_broker,notes,source_file,provenance,extra_fields
SUP_4159415505829127593,1855,1855,"[""ITEM E SERVIZI INTERNI""]",DISTRIBUTORE,FORNITURA CAFFE',nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 28, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_8946545976846238318,A. PONTECORVO S.P.A.,A. PONTECORVO S.P.A.,"[""STORICO""]","TIPO D
TIPO DISTRIBUTORE
Name: 10, dtype: object; TIPO D
TIPO DISTRIBUTORE
Name: 10, dtype: object",MATERIE PRIME,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""STORICO"", ""row"": 11, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_8066959339184381404,A.B. ESSE S.P.A.,A.B. ESSE S.P.A.,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO D
TIPO COSTRUTTORE
Name: 24, dtype: object; TIPO D
TIPO COSTRUTTORE
Name: 24, dtype: object",APPARECCHIATURE LASER,nan; QUESTIONARIO PRE-QUALIFICA in attesa approvazione Spartaco,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 25, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 64, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_4003026683781222991,ABIS CIRCUITS CO. LIMITED,ABIS CIRCUITS CO. LIMITED,"[""STORICO""]","TIPO NaN
TIPO COSTRUTTORE
Name: 13, dtype: object; TIPO NaN
TIPO COSTRUTTORE
Name: 13, dtype: object",COSTRUTTORE CIRCUITI STAMPATI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""STORICO"", ""row"": 14, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_6885422043853362609,ACAL BFI ITALY srl,ACAL BFI ITALY SRL,"[""CLASSE C (coats)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO C
TIPO DISTRIBUTORE
Name: 13, dtype: object; TIPO C
TIPO DISTRIBUTORE
Name: 13, dtype: object",COMPONENTI ELETTRONICI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE C (coats)"", ""row"": 14, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 49, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_5259020484714479308,ACX DESIGN S.R.L.,ACX DESIGN S.R.L.,"[""CLASSE A (progettazione)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO A
TIPO COSTRUTTORE
Name: 10, dtype: object; TIPO A
TIPO COSTRUTTORE
Name: 10, dtype: object",COSTRUTTORE CIRCUITI STAMPATI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE A (progettazione)"", ""row"": 11, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 53, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_8935105067253007922,ADVAM S.R.L.,ADVAM S.R.L.,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO D
TIPO DISTRIBUTORE
Name: 29, dtype: object; TIPO D
TIPO DISTRIBUTORE
Name: 29, dtype: object",COMPONENTI ELETTRONICI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 30, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 79, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_2927027388811480020,AFAR S.R.L.,AFAR S.R.L.,"[""CLASSE D (distributori)"", ""ITEM E SERVIZI AL CLIENTE""]","TIPO D
TIPO BROKER
Name: 13, dtype: object; TIPO D
TIPO BROKER
Name: 13, dtype: object",COMPONENTI ELETTRONICI,nan; ISO 9001:2015 / EN 9120:2018,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE D (distributori)"", ""row"": 14, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI AL CLIENTE"", ""row"": 23, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
SUP_4485086961438581867,AIRSERVICE S.R.L.,AIRSERVICE S.R.L.,"[""CLASSE E (generali stabilimento"", ""ITEM E SERVIZI INTERNI""]","TIPO E
TIPO ASSISTENZA TECNICA
Name: 12, dtype: object; TIPO E
TIPO ASSISTENZA TECNICA
Name: 12, dtype: object",INSTALLAZIONE E ASSISTENZA IMPIANTI TECNOLOGICI,nan; nan,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""CLASSE E (generali stabilimento"", ""row"": 13, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}, {""sheet"": ""ITEM E SERVIZI INTERNI"", ""row"": 9, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO""]}]",{}
SUP_5512617973696217128,ALANTYS TECHNOLOGY,ALANTYS TECHNOLOGY,"[""STORICO""]","TIPO NaN
TIPO BROKER
Name: 11, dtype: object; TIPO NaN
TIPO BROKER
Name: 11, dtype: object",COMPONENTI ELETTRONICI,nan; ISO 9001:2015,nan,nan,nan,nan,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,"[{""sheet"": ""STORICO"", ""row"": 12, ""cols_used"": [""AMBITO DI FORNITURA"", ""CERTIFICAZIONE"", ""CERTIFICAZIONI"", ""DISTRIBUTORE UFFICIALE O BROKER"", ""KPI\nQUALITA'"", ""KPI\nTEMPI"", ""NOTE"", ""RAGIONE SOCIALE"", ""TIPO"", ""TIPO""]}]",{}
