order_id,order_number,order_date,supplier_text_raw,supplier_text_normalized,reason,candidates_topn,source_file,source_sheet,source_row
ORD_ORDINI EVASI (3)_6,38,2024-01-18,METATRON,METATRON,no_candidate_above_low,"[{""supplier_id"": ""SUP_6265631649259889097"", ""name"": ""METATRON S.R.L."", ""score"": 69.56521739130434}, {""supplier_id"": ""SUP_1622588361885704494"", ""name"": ""LUMITRON"", ""score"": 62.5}, {""supplier_id"": ""SUP_2552595561967725919"", ""name"": ""ETMAN"", ""score"": 61.53846153846154}, {""supplier_id"": ""SUP_3591434645509264740"", ""name"": ""DATAONE"", ""score"": 53.333333333333336}, {""supplier_id"": ""SUP_6897579983344076312"", ""name"": ""MASSARO"", ""score"": 53.333333333333336}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),6
ORD_ORDINI EVASI (3)_7,41,2024-01-22,PONTECORVO,PONTECORVO,no_candidate_above_low,"[{""supplier_id"": ""SUP_8946545976846238318"", ""name"": ""A. PONTECORVO S.P.A."", ""score"": 66.66666666666667}, {""supplier_id"": ""SUP_7091032332535812936"", ""name"": ""CONVERGE"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_370981806065138102"", ""name"": ""TECNO 77"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_2765943585002483821"", ""name"": ""TEKCELEO"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_3964537242048028404"", ""name"": ""SPECTROGON AB"", ""score"": 43.47826086956522}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),7
ORD_ORDINI EVASI (3)_8,42,2024-01-22,PONTECORVO,PONTECORVO,no_candidate_above_low,"[{""supplier_id"": ""SUP_8946545976846238318"", ""name"": ""A. PONTECORVO S.P.A."", ""score"": 66.66666666666667}, {""supplier_id"": ""SUP_7091032332535812936"", ""name"": ""CONVERGE"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_370981806065138102"", ""name"": ""TECNO 77"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_2765943585002483821"", ""name"": ""TEKCELEO"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_3964537242048028404"", ""name"": ""SPECTROGON AB"", ""score"": 43.47826086956522}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),8
ORD_ORDINI EVASI (3)_9,44,2024-01-22,PONTECORVO,PONTECORVO,no_candidate_above_low,"[{""supplier_id"": ""SUP_8946545976846238318"", ""name"": ""A. PONTECORVO S.P.A."", ""score"": 66.66666666666667}, {""supplier_id"": ""SUP_7091032332535812936"", ""name"": ""CONVERGE"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_370981806065138102"", ""name"": ""TECNO 77"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_2765943585002483821"", ""name"": ""TEKCELEO"", ""score"": 44.44444444444444}, {""supplier_id"": ""SUP_3964537242048028404"", ""name"": ""SPECTROGON AB"", ""score"": 43.47826086956522}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),9
ORD_ORDINI EVASI (3)_10,45,2024-01-22,FARNELL,FARNELL,no_candidate_above_low,"[{""supplier_id"": ""SUP_4068972905233336179"", ""name"": ""PARTELLI"", ""score"": 66.66666666666667}, {""supplier_id"": ""SUP_602208219744580945"", ""name"": ""BROWNELL LTD"", ""score"": 52.63157894736843}, {""supplier_id"": ""SUP_3324482495551179492"", ""name"": ""FARNELL ITALIA S.R.L."", ""score"": 50.0}, {""supplier_id"": ""SUP_8273397182847123907"", ""name"": ""BERNER"", ""score"": 46.15384615384615}, {""supplier_id"": ""SUP_2927027388811480020"", ""name"": ""AFAR S.R.L."", ""score"": 44.44444444444444}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),10
ORD_ORDINI EVASI (3)_11,414,2023-12-18,AIR SERVICE,AIR SERVICE,no_candidate_above_low,"[{""supplier_id"": ""SUP_2927598786926949250"", ""name"": ""EUROSERVICE"", ""score"": 72.72727272727273}, {""supplier_id"": ""SUP_4485086961438581867"", ""name"": ""AIRSERVICE S.R.L."", ""score"": 71.42857142857143}, {""supplier_id"": ""SUP_1919952987662277336"", ""name"": ""PROVAL SERVICE S.R.L."", ""score"": 62.5}, {""supplier_id"": ""SUP_7136246588437852542"", ""name"": ""SERVOTECNICA S.P.A."", ""score"": 53.333333333333336}, {""supplier_id"": ""SUP_5492491103023444471"", ""name"": ""MAGI SRL"", ""score"": 52.63157894736843}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),11
ORD_ORDINI EVASI (3)_14,11,2024-01-09,DB ELECTRONIC,DB ELECTRONIC,no_candidate_above_low,"[{""supplier_id"": ""SUP_3066011515753828494"", ""name"": ""ARROW ELECTRONICS INC"", ""score"": 64.70588235294117}, {""supplier_id"": ""SUP_2084053279417800679"", ""name"": ""ELETTRONICA SRLS"", ""score"": 62.06896551724138}, {""supplier_id"": ""SUP_3964537242048028404"", ""name"": ""SPECTROGON AB"", ""score"": 61.53846153846154}, {""supplier_id"": ""SUP_8547799447660535427"", ""name"": ""LASER OPTRONIC"", ""score"": 59.25925925925925}, {""supplier_id"": ""SUP_988411792829340421"", ""name"": ""D & P ELECTRONIC SYSTEMS SRL"", ""score"": 58.53658536585367}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),14
ORD_ORDINI EVASI (3)_15,419,2023-12-19,LA NUOVA EUROGALV,LA NUOVA EUROGALV,gray_zone_ambiguous,"[{""supplier_id"": ""SUP_598547937965636699"", ""name"": ""LA NUOVA EUROGALV S.R.L."", ""score"": 82.92682926829268}, {""supplier_id"": ""SUP_6971707677530644434"", ""name"": ""TECNO GENERAL"", ""score"": 46.666666666666664}, {""supplier_id"": ""SUP_1546328211849872547"", ""name"": ""MISUMI EUROPA GMBH"", ""score"": 45.714285714285715}, {""supplier_id"": ""SUP_5981066771242919903"", ""name"": ""NUOVA ITALACCIAI S.R.L."", ""score"": 44.99999999999999}, {""supplier_id"": ""SUP_1919952987662277336"", ""name"": ""PROVAL SERVICE S.R.L."", ""score"": 42.10526315789473}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),15
ORD_ORDINI EVASI (3)_16,427,2023-12-22,ELCO,ELCO,no_candidate_above_low,"[{""supplier_id"": ""SUP_5171594928180473881"", ""name"": ""LAMECO"", ""score"": 60.0}, {""supplier_id"": ""SUP_4305837242445261703"", ""name"": ""ELCO S.P.A."", ""score"": 53.333333333333336}, {""supplier_id"": ""SUP_370981806065138102"", ""name"": ""TECNO 77"", ""score"": 50.0}, {""supplier_id"": ""SUP_2765943585002483821"", ""name"": ""TEKCELEO"", ""score"": 50.0}, {""supplier_id"": ""SUP_6971707677530644434"", ""name"": ""TECNO GENERAL"", ""score"": 47.05882352941176}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),16
ORD_ORDINI EVASI (3)_17,36,2024-01-18,LA NUOVA EUROGALV,LA NUOVA EUROGALV,gray_zone_ambiguous,"[{""supplier_id"": ""SUP_598547937965636699"", ""name"": ""LA NUOVA EUROGALV S.R.L."", ""score"": 82.92682926829268}, {""supplier_id"": ""SUP_6971707677530644434"", ""name"": ""TECNO GENERAL"", ""score"": 46.666666666666664}, {""supplier_id"": ""SUP_1546328211849872547"", ""name"": ""MISUMI EUROPA GMBH"", ""score"": 45.714285714285715}, {""supplier_id"": ""SUP_5981066771242919903"", ""name"": ""NUOVA ITALACCIAI S.R.L."", ""score"": 44.99999999999999}, {""supplier_id"": ""SUP_1919952987662277336"", ""name"": ""PROVAL SERVICE S.R.L."", ""score"": 42.10526315789473}]",C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,ORDINI EVASI (3),17
